course_id,student_major,overall_rating,instructor_rating,difficulty_rating,workload_rating,practicality_rating,textbook_rating,exam_difficulty_rating,exam_fairness_rating,student_year,course_type,course_format,exam_format,proctoring_type,course_experience_feedback,improvement_suggestions,instructor_feedback
ECON101,Social Sciences,8,5,2,2,4,5,3,4,3rd Year,Major Requirement,Hybrid,Multiple Choice,No Proctoring/Honor Code,One of the best courses I've taken. The study guides provided were incredibly helpful for the final.,"Providing a practice exam would be a great addition, but the review sessions were very helpful.",A truly great instructor. Made complex topics easy to understand and was very responsive to emails.
PSYCH440,Computer Science,5,3,5,5,1,3,5,2,4th Year,Major Requirement,Hybrid,Multiple Choice,Online Proctored,"The online proctoring software was invasive and stressful, making the difficult exam even worse.",The grading on the essay-based exams felt completely arbitrary and subjective.,"The instructor is very unresponsive to emails, especially regarding exam grades."
PSYCH440,Humanities,8,4,3,3,4,3,3,4,Graduate,Major Requirement,Online,Problem Sets,No Proctoring/Honor Code,I learned so much from the projects. The exams were challenging but manageable if you studied.,The take-home exam format was great as it allowed for deeper thinking.,A truly great instructor. Made complex topics easy to understand and was very responsive to emails.
CS450,Humanities,8,5,3,2,4,5,3,5,3rd Year,Major Requirement,Hybrid,Multiple Choice,In-Person Proctored,One of the best courses I've taken. The study guides provided were incredibly helpful for the final.,The take-home exam format was great as it allowed for deeper thinking.,The instructor's enthusiasm was contagious. They were great at highlighting key concepts for the exams.
HIST101,Engineering,6,2,4,4,1,1,5,1,3rd Year,Major Requirement,Hybrid,Essay Based,No Proctoring/Honor Code,"The online proctoring software was invasive and stressful, making the difficult exam even worse.",The professor must provide practice exams that are similar in format and difficulty to the real thing.,Was not helpful during office hours when asked about the exam format.
ART150,Computer Science,10,4,2,2,4,3,3,4,Graduate,General Education,Online,Problem Sets,In-Person Proctored,I learned so much from the projects. The exams were challenging but manageable if you studied.,The take-home exam format was great as it allowed for deeper thinking.,The instructor's enthusiasm was contagious. They were great at highlighting key concepts for the exams.
CS450,Arts,7,3,1,2,1,4,2,4,3rd Year,Major Requirement,Hybrid,Take-Home,No Proctoring/Honor Code,"Honestly, this class felt like a waste of time. You didn't even have to study for the open-book exams.",The exams need to be more rigorous to be worth the credits. The content should be much deeper.,"The instructor was nice, but the grading on the exams was so lenient it was meaningless."
ENG112,Humanities,8,3,2,1,2,4,2,5,Graduate,General Education,Online,Essay Based,In-Person Proctored,"Honestly, this class felt like a waste of time. You didn't even have to study for the open-book exams.",The exams need to be more rigorous to be worth the credits. The content should be much deeper.,"A friendly person, but not an effective educator. The exams were not a real measure of learning."
ART150,Business,5,2,5,5,1,1,5,1,Graduate,Major Requirement,Hybrid,Multiple Choice,Online Proctored,"The online proctoring software was invasive and stressful, making the difficult exam even worse.",The professor must provide practice exams that are similar in format and difficulty to the real thing.,Was not helpful during office hours when asked about the exam format.
PSYCH440,Natural Sciences,8,4,2,3,5,5,3,5,3rd Year,Major Requirement,Hybrid,Multiple Choice,No Proctoring/Honor Code,This was an amazing course! The material was practical and the exams were a fair test of our knowledge.,"Providing a practice exam would be a great addition, but the review sessions were very helpful.",The professor was fantastic and prepared us well for the exams.
CS450,Business,6,2,4,4,1,1,5,2,Graduate,Major Requirement,In-Person,Mixed,In-Person Proctored,"The workload was overwhelming, and there was a massive disconnect between lectures and the exam content.",The professor must provide practice exams that are similar in format and difficulty to the real thing.,Was not helpful during office hours when asked about the exam format.
