course_id,student_major,overall_rating,instructor_rating,difficulty_rating,workload_rating,practicality_rating,textbook_rating,exam_difficulty_rating,exam_fairness_rating,student_year,course_type,course_format,exam_format,proctoring_type,course_experience_feedback,improvement_suggestions,instructor_feedback,sentiment,limitations,suggestions
CSE 101,Mechanical Engineering,1,3,5,4,3,4,3,4,1st Year,Elective,Lab,Written,In-person,The lectures lacked clarity and organization.,Include more real-world examples and case studies.,Instructor provided timely feedback.,2,"Issues with grading, workload, or instructor responsiveness.",Include more real-world examples and case studies.
EE 404,Biomedical Engineering,3,1,5,4,5,3,5,1,4th Year,Elective,Lab,Written,In-person,Mixed feelings about the exams and grading.,Reduce workload or provide better support resources.,Instructor held helpful office hours.,2,Exam format or proctoring is problematic.,Maintain current structure; no major changes needed.
ME 212,Material Engineering,2,5,2,4,3,1,2,5,1st Year,Elective,Lab,Take-home,In-person,Average experience; workload was moderate.,Reduce workload or provide better support resources.,Instructor provided timely feedback.,2,Minor limitations; generally positive feedback.,Maintain current structure; no major changes needed.
CSE 101,Mechanical Engineering,1,1,5,2,5,2,4,4,2nd Year,Elective,Lab,Written,Online,Mixed feelings about the exams and grading.,Add more practice exams or preparatory materials.,Instructor held helpful office hours.,3,Exam format or proctoring is problematic.,Add more practice exams or preparatory materials.
CSE 303,Material Engineering,3,5,5,3,3,2,2,3,3rd Year,Elective,Lecture,Oral,Online,Average experience; workload was moderate.,Improve instructor responsiveness to queries.,Instructor held helpful office hours.,3,Minor limitations; generally positive feedback.,Maintain current structure; no major changes needed.
BIO 101,Material Engineering,2,1,2,4,1,1,5,3,4th Year,Core,Lecture,Oral,Online,I enjoyed the hands-on projects and real-world applications.,Include more real-world examples and case studies.,Instructor provided timely feedback.,2,Exam format or proctoring is problematic.,Include more real-world examples and case studies.
CSE 303,Physics,2,5,3,4,4,3,3,3,4th Year,Core,Lecture,Written,In-person,Mixed feelings about the exams and grading.,Add more practice exams or preparatory materials.,Instructor held helpful office hours.,3,Exam format or proctoring is problematic.,Add more practice exams or preparatory materials.
BIO 101,Electrical Engineering,3,2,2,2,1,5,1,3,4th Year,Elective,Lab,Oral,In-person,Mixed feelings about the exams and grading.,Include more real-world examples and case studies.,Instructor held helpful office hours.,1,Exam format or proctoring is problematic.,Include more real-world examples and case studies.
CSE 303,Electrical Engineering,4,1,2,1,3,2,1,1,4th Year,Elective,Lab,Take-home,In-person,Average experience; workload was moderate.,Add more practice exams or preparatory materials.,Instructor communication could be improved.,1,Exam format or proctoring is problematic.,Add more practice exams or preparatory materials.
EEE 339,Computer Science,5,3,4,1,4,2,1,2,2nd Year,Elective,Lecture,Oral,Online,The course was well-structured and engaging.,Add more practice exams or preparatory materials.,Instructor communication could be improved.,2,Exam format or proctoring is problematic.,Add more practice exams or preparatory materials.
EEE 212,Electrical Engineering,2,3,4,1,1,2,2,5,3rd Year,Elective,Lecture,Take-home,In-person,The course was well-structured and engaging.,Improve instructor responsiveness to queries.,Instructor communication could be improved.,2,Minor limitations; generally positive feedback.,Maintain current structure; no major changes needed.
CSE 101,Mechanical Engineering,2,4,5,5,3,1,1,5,1st Year,Core,Lab,Take-home,In-person,"Lectures were clear, and the instructor was supportive.",Improve instructor responsiveness to queries.,Instructor provided timely feedback.,2,Minor limitations; generally positive feedback.,Maintain current structure; no major changes needed.
EE 404,Material Engineering,1,4,5,5,5,1,4,5,1st Year,Elective,Lab,Take-home,Online,Average experience; workload was moderate.,Add more practice exams or preparatory materials.,Instructor provided timely feedback.,2,Exam format or proctoring is problematic.,Add more practice exams or preparatory materials.
EEE 339,Biomedical Engineering,2,3,1,5,2,3,1,3,4th Year,Core,Lecture,Written,In-person,The lectures lacked clarity and organization.,Add more practice exams or preparatory materials.,Instructor communication could be improved.,2,"Issues with grading, workload, or instructor responsiveness.",Add more practice exams or preparatory materials.
CSE 202,Mechanical Engineering,2,2,2,5,2,4,5,3,3rd Year,Core,Lecture,Take-home,In-person,Instructor was unresponsive to questions and emails.,Include more real-world examples and case studies.,Instructor provided timely feedback.,2,Issues with instructor responsiveness.,Include more real-world examples and case studies.
ME 212,Computer Science,5,2,4,3,5,2,5,5,4th Year,Elective,Lecture,Written,In-person,I enjoyed the hands-on projects and real-world applications.,Add more practice exams or preparatory materials.,Instructor held helpful office hours.,3,Exam format or proctoring is problematic.,Add more practice exams or preparatory materials.
CSE 101,Electrical Engineering,1,3,1,2,2,5,3,2,4th Year,Elective,Lecture,Take-home,Online,"The course was okay, but could use more examples.",Include more real-world examples and case studies.,Instructor provided timely feedback.,3,Exam format or proctoring is problematic.,Include more real-world examples and case studies.
EE 404,Electrical Engineering,3,3,2,5,4,2,1,4,2nd Year,Core,Lecture,Take-home,In-person,Average experience; workload was moderate.,Add more practice exams or preparatory materials.,Instructor provided timely feedback.,1,Exam format or proctoring is problematic.,Add more practice exams or preparatory materials.
